# STEVAL-MKI229A (LSM6DSO16IS) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],temp[C],acc_x[LSB],acc_y[LSB],acc_z[LSB],gyro_x[LSB],gyro_y[LSB],gyro_z[LSB],temp[LSB],int_1,int_2
8841442299,6.283,133.102,996.740,4716.250,-4007.500,-2458.750,23.809,103,2182,16340,539,-458,-281,-305,0,0
8841451706,5.978,134.261,997.289,4751.250,-4042.500,-2450.000,23.762,98,2201,16349,543,-462,-280,-317,0,0
8841461114,6.100,135.176,997.594,4768.750,-4025.000,-2423.750,23.762,100,2216,16354,545,-460,-277,-317,0,0
8841470527,6.771,134.871,996.496,4751.250,-3998.750,-2458.750,23.809,111,2211,16336,543,-457,-281,-305,0,0
8841479933,6.100,134.383,997.655,4716.250,-3990.000,-2450.000,23.809,100,2203,16355,539,-456,-280,-305,0,0
8841489341,6.344,134.078,999.119,4716.250,-3990.000,-2432.500,23.809,104,2198,16379,539,-456,-278,-305,0,0
8841498754,6.954,134.139,998.631,4795.000,-3963.750,-2467.500,23.809,114,2199,16371,548,-453,-282,-305,0,0
8841508162,5.734,134.139,995.825,4803.750,-3963.750,-2467.500,23.770,94,2199,16325,549,-453,-282,-315,0,0
8841517569,6.588,133.407,996.252,4821.250,-3981.250,-2467.500,23.770,108,2187,16332,551,-455,-282,-315,0,0
8841526983,6.100,134.078,996.130,4952.500,-3998.750,-2476.250,23.813,100,2198,16330,566,-457,-283,-304,0,0
8841536391,5.978,134.383,996.130,4943.750,-3998.750,-2458.750,23.813,98,2203,16330,565,-457,-281,-304,0,0
8841545797,4.880,133.346,996.130,4856.250,-3981.250,-2467.500,23.789,80,2186,16330,555,-455,-282,-310,0,0
8841555205,5.246,133.895,996.313,4882.500,-3990.000,-2467.500,23.789,86,2195,16333,558,-456,-282,-310,0,0
8841564619,5.124,133.834,996.923,4786.250,-4016.250,-2476.250,23.785,84,2194,16343,547,-459,-283,-311,0,0
8841574027,6.405,134.749,998.631,4838.750,-4042.500,-2432.500,23.785,105,2209,16371,553,-462,-278,-311,0,0
8841583434,6.588,135.420,997.228,4838.750,-3972.500,-2450.000,23.809,108,2220,16348,553,-454,-280,-305,0,0
8841592848,6.222,133.224,996.618,4707.500,-4016.250,-2476.250,23.809,102,2184,16338,538,-459,-283,-305,0,0
8841602255,7.076,133.224,998.936,4821.250,-4007.500,-2450.000,23.750,116,2184,16376,551,-458,-280,-320,0,0
8841611662,5.917,135.908,998.631,4943.750,-4042.500,-2450.000,23.750,97,2228,16371,565,-462,-280,-320,0,0
8841621075,6.161,135.176,996.862,4795.000,-4025.000,-2485.000,23.754,101,2216,16342,548,-460,-284,-319,0,0
8841630483,5.063,134.200,995.764,4681.250,-3972.500,-2493.750,23.754,83,2200,16324,535,-454,-285,-319,0,0
8841639891,6.039,133.712,996.679,4663.750,-3998.750,-2476.250,23.813,99,2192,16339,533,-457,-283,-304,0,0
8841649298,5.490,134.078,996.923,4620.000,-3990.000,-2485.000,23.813,90,2198,16343,528,-456,-284,-304,0,0
8841658712,5.368,133.407,996.862,4655.000,-4033.750,-2467.500,23.816,88,2187,16342,532,-461,-282,-303,0,0
8841668119,5.368,133.956,995.947,4602.500,-4016.250,-2502.500,23.816,88,2196,16327,526,-459,-286,-303,0,0
8841677527,6.039,132.736,996.435,4637.500,-4060.000,-2458.750,23.793,99,2176,16335,530,-464,-281,-309,0,0
8841686940,6.466,134.139,997.838,4751.250,-4060.000,-2441.250,23.793,106,2199,16358,543,-464,-279,-309,0,0
8841696348,5.978,134.749,997.045,4786.250,-4042.500,-2476.250,23.777,98,2209,16345,547,-462,-283,-313,0,0
8841705754,6.344,134.078,996.679,4716.250,-4016.250,-2467.500,23.777,104,2198,16339,539,-459,-282,-313,0,0
8841715167,5.490,134.810,998.082,4786.250,-3972.500,-2432.500,23.781,90,2210,16362,547,-454,-278,-312,0,0
8841724575,5.429,135.359,996.984,4742.500,-3963.750,-2458.750,23.781,89,2219,16344,542,-453,-281,-312,0,0
8841733982,5.795,134.566,997.106,4637.500,-3955.000,-2493.750,23.816,95,2206,16346,530,-452,-285,-303,0,0
8841743391,6.283,134.078,996.191,4637.500,-3972.500,-2493.750,23.816,103,2198,16331,530,-454,-285,-303,0,0
